interval_start_utc,interval_end_utc,respondent,load,load_forecast,net_generation,total_interchange
2023-05-18 00:00:00+00:00,2023-05-19 00:00:00+00:00,PACE,5478.1333333333333333,5570.6315789473684211,4608.0555555555555556,-918.2777777777777778
2023-05-19 00:00:00+00:00,2023-05-20 00:00:00+00:00,PACE,5445.0000000000000000,5428.4736842105263158,4162.4117647058823529,-1261.2666666666666667
2023-05-20 00:00:00+00:00,2023-05-21 00:00:00+00:00,PACE,5414.7333333333333333,5299.0000000000000000,3695.3846153846153846,-1592.4285714285714286
2023-05-21 00:00:00+00:00,2023-05-22 00:00:00+00:00,PACE,5243.2000000000000000,5344.4000000000000000,3881.5000000000000000,-1547.3333333333333333
2023-05-22 00:00:00+00:00,2023-05-23 00:00:00+00:00,PACE,5847.1904761904761905,5460.8000000000000000,3899.1578947368421053,-1698.4000000000000000
2023-05-23 00:00:00+00:00,2023-05-24 00:00:00+00:00,PACE,5659.8125000000000000,5564.0000000000000000,4220.0000000000000000,-1479.9411764705882353
2023-05-24 00:00:00+00:00,2023-05-25 00:00:00+00:00,PACE,5451.5000000000000000,5576.6923076923076923,4293.2941176470588235,-1089.4210526315789474
2023-05-25 00:00:00+00:00,2023-05-26 00:00:00+00:00,PACE,5517.0000000000000000,5590.4705882352941176,4017.8125000000000000,-1333.8235294117647059
2023-05-26 00:00:00+00:00,2023-05-27 00:00:00+00:00,PACE,5268.1250000000000000,5527.5882352941176471,4779.3125000000000000,-620.6923076923076923
2023-05-27 00:00:00+00:00,2023-05-28 00:00:00+00:00,PACE,4875.2500000000000000,5388.1578947368421053,4374.8571428571428571,-551.2352941176470588
2023-05-28 00:00:00+00:00,2023-05-29 00:00:00+00:00,PACE,4857.3333333333333333,5379.1764705882352941,4621.5882352941176471,-281.9285714285714286
2023-05-29 00:00:00+00:00,2023-05-30 00:00:00+00:00,PACE,5144.9090909090909091,5601.4666666666666667,4766.7894736842105263,-269.9285714285714286
2023-05-30 00:00:00+00:00,2023-05-31 00:00:00+00:00,PACE,5711.9230769230769231,5820.0000000000000000,4494.0000000000000000,-1012.2941176470588235
2023-05-31 00:00:00+00:00,2023-06-01 00:00:00+00:00,PACE,5404.4444444444444444,5614.1052631578947368,4283.7142857142857143,-1366.2857142857142857
2023-06-01 00:00:00+00:00,2023-06-02 00:00:00+00:00,PACE,5608.5384615384615385,5296.5000000000000000,4496.4545454545454545,-898.0666666666666667
2023-06-02 00:00:00+00:00,2023-06-03 00:00:00+00:00,PACE,5414.2105263157894737,5289.8333333333333333,4253.7500000000000000,-1172.5000000000000000
2023-06-03 00:00:00+00:00,2023-06-04 00:00:00+00:00,PACE,5273.0000000000000000,5087.2941176470588235,4121.2105263157894737,-817.1250000000000000
2023-06-04 00:00:00+00:00,2023-06-05 00:00:00+00:00,PACE,5130.6000000000000000,5052.8888888888888889,4422.8000000000000000,-366.2941176470588235
2023-06-05 00:00:00+00:00,2023-06-06 00:00:00+00:00,PACE,5564.3684210526315789,5508.9375000000000000,5732.9444444444444444,215.2222222222222222
2023-06-06 00:00:00+00:00,2023-06-07 00:00:00+00:00,PACE,5764.0000000000000000,5737.0769230769230769,5641.2222222222222222,-179.3333333333333333
2023-06-07 00:00:00+00:00,2023-06-08 00:00:00+00:00,PACE,5854.0625000000000000,5902.5625000000000000,5766.1333333333333333,-47.1764705882352941
